mission_time,metres
51.17,8517.508
51.24,8518.879
51.31,8501.07
51.38,8471.246
51.45,8440.396
51.52,8425.464
51.59,8422.526
51.66,8420.944
51.73,8419.363
51.8,8419.138
51.87,8417.557
51.94,8415.75
52.01,8415.75
52.08,8416.202
52.15,8429.307
52.22,8439.037
52.29,8443.113
52.36,8446.738
52.43,8450.591
52.5,8453.085
52.57,8444.019
52.64,8442.434
52.71,8438.584
52.78,8439.716
52.85,8441.075
52.92,8429.533
52.99,8431.569
53.06,8428.629
53.2,8423.655
53.27,8423.204
53.34,8422.752
53.41,8425.464
53.48,8428.629
53.55,8430.664
53.62,8434.283
53.69,8436.999
53.76,8447.644
53.83,8447.644
53.9,8436.32
54.04,8373.186
54.11,8360.168
54.18,8356.132
54.25,8354.786
54.32,8353.218
54.39,8353.218
54.46,8351.425
54.53,8349.409
54.6,8348.512
54.67,8346.945
54.74,8345.154
54.81,8344.035
54.88,8342.691
54.95,8339.782
55.02,8337.992
55.09,8336.65
55.16,8335.308
55.23,8333.296
55.3,8334.19
55.37,8335.979
55.44,8334.861
55.51,8329.943
55.58,8327.932
55.65,8324.135
55.72,8323.465
55.79,8320.561
55.86,8317.884
55.93,8316.99
56.0,8315.429
56.07,8312.529
56.14,8310.745
56.21,8308.738
56.28,8307.624
56.35,8306.955
56.42,8307.846
56.49,8319.891
56.56,8337.321
56.63,8352.769
56.7,8357.476
56.77,8354.786
56.84,8348.065
56.91,8342.019
56.98,8331.06
57.05,8316.99
57.12,8298.935
57.19,8288.922
57.26,8284.474
57.33,8283.807
57.4,8284.474
57.47,8285.586
57.54,8287.809
57.61,8288.476
57.68,8283.141
57.75,8276.254
57.82,8273.145
57.89,8272.036
57.96,8274.477
58.03,8276.921
58.1,8280.252
58.17,8286.031
58.24,8286.031
58.31,8291.812
58.38,8307.177
58.45,8327.485
58.52,8344.929
58.59,8350.753
58.66,8340.677
58.73,8325.474
58.8,8314.09
58.87,8306.732
58.94,8302.053
59.01,8293.816
59.08,8282.919
59.15,8268.928
59.22,8267.597
59.29,8274.922
59.36,8284.697
59.43,8293.148
59.5,8290.256
59.57,8274.922
59.64,8261.167
59.71,8251.64
59.78,8240.577
59.85,8248.762
59.92,8239.913
59.99,8241.24
60.06,8237.039
60.13,8233.283
60.2,8237.481
60.27,8246.106
60.34,8256.512
60.41,8265.601
60.48,8266.489
60.55,8251.64
60.62,8226.657
60.69,8203.729
60.76,8192.508
60.83,8188.771
60.9,8185.914
60.97,8184.156
61.04,8181.96
61.11,8179.106
61.18,8175.814
61.25,8175.814
61.32,8175.814
61.39,8176.033
61.46,8175.594
61.53,8178.009
61.6,8182.18
61.67,8194.707
61.74,8213.201
61.81,8238.808
61.88,8245.001
61.95,8222.022
62.02,8188.331
62.09,8163.534
62.16,8154.337
62.23,8151.491
62.3,8150.616
62.37,8149.303
62.44,8148.21
62.51,8147.554
62.58,8145.586
62.65,8145.148
62.72,8144.055
62.79,8141.214
62.86,8142.744
63.0,8140.122
63.07,8143.618
63.14,8138.811
63.21,8134.66
63.28,8131.822
63.35,8128.985
63.42,8134.442
63.49,8141.433
63.56,8149.741
63.63,8160.248
63.7,8167.698
63.77,8171.427
63.84,8165.507
63.91,8147.116
63.98,8132.04
64.05,8126.802
64.12,8125.494
64.19,8126.366
64.26,8126.366
64.33,8129.203
64.4,8132.259
64.47,8135.971
64.54,8143.618
64.61,8149.085
64.68,8146.679
64.75,8134.879
64.82,8117.863
64.89,8102.621
64.96,8090.665
65.03,8083.499
65.1,8078.726
65.17,8074.388
65.24,8073.738
65.31,8071.787
65.38,8070.703
65.45,8068.753
65.52,8068.536
65.59,8069.186
65.66,8068.969
65.73,8067.02
65.8,8064.637
65.87,8063.338
65.94,8061.606
66.01,8059.874
66.08,8057.927
66.15,8057.927
66.22,8060.091
66.29,8062.905
66.36,8062.472
66.43,8054.898
66.5,8049.275
66.57,8045.169
66.64,8046.25
66.71,8048.843
66.78,8054.032
66.85,8055.979
66.92,8054.032
66.99,8045.817
67.06,8041.928
67.13,8040.849
67.2,8045.601
67.27,8047.762
67.34,8039.985
67.41,8030.921
67.48,8023.159
67.55,8020.358
67.62,8018.635
67.69,8016.912
67.76,8016.051
67.83,8013.467
67.9,8012.176
67.97,8010.025
68.04,8007.873
68.11,8006.367
68.18,8007.228
68.25,8006.152
68.32,8004.002
68.39,8002.282
68.46,7999.488
68.53,7998.629
68.6,8000.777
68.67,8010.67
68.74,8027.686
68.81,8047.546
68.88,8052.302
68.95,8044.521
69.02,8040.417
69.09,8040.633
69.16,8043.657
69.23,8050.572
69.3,8054.465
69.37,8045.601
69.44,8032.647
69.51,8030.058
69.58,8031.352
69.65,8031.136
69.72,8025.315
69.79,8013.037
69.86,7996.05
69.93,7987.677
70.0,7978.669
70.07,7969.456
70.14,7962.393
70.21,7956.832
70.28,7953.839
70.35,7953.839
70.42,7951.915
70.49,7951.488
70.56,7952.77
70.63,7953.839
70.7,7953.839
70.77,7948.07
70.84,7945.294
70.91,7944.226
70.98,7949.138
71.05,7954.266
71.12,7952.77
71.19,7942.092
71.26,7933.559
71.33,7929.082
71.4,7928.869
71.47,7935.691
71.54,7953.198
71.61,7969.884
71.68,7979.741
71.75,7978.454
71.82,7967.743
71.89,7961.537
71.96,7959.612
72.03,7962.179
72.1,7964.532
72.17,7962.606
72.24,7958.756
72.31,7959.184
72.38,7963.035
72.45,7962.179
72.52,7946.575
72.59,7921.627
72.66,7901.636
72.73,7889.961
72.8,7886.568
72.87,7884.448
72.94,7882.964
73.01,7881.905
73.08,7880.845
73.15,7879.997
73.22,7879.785
73.29,7878.938
